Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
Toyota Yaris G Matic Tahun 2015 Kondisi Mulus Terawat Istimewa,2015,BENSIN,75.000-80.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 140.000.000,https://www.olx.co.id/item/toyota-yaris-g-matic-tahun-2015-kondisi-mulus-terawat-istimewa-iid-932397360
Honda Brio Satya 2021 Bensin,2021,BENSIN,45.000-50.000 KM,AUTOMATIC,"LIMO, DEPOK KOTA",Rp 155.000.000,https://www.olx.co.id/item/honda-brio-satya-2021-bensin-iid-932397340
Mitsubishi Lancer Evolution 2008 Bensin,2008,BENSIN,120000 KM,OTOMATIS,"TANAH SAREAL, BOGOR KOTA",Rp 133.500.000,https://www.olx.co.id/item/mitsubishi-lancer-evolution-2008-bensin-iid-932397316
Honda CR-Z 2013 Hybrid,2013,HYBRID,70000 KM,OTOMATIS,"ANTAPANI (CICADAS), BANDUNG KOTA",Rp 295.000.000,https://www.olx.co.id/item/honda-cr-z-2013-hybrid-iid-931995389
"Dijual cepat, tdk melayani kredit",2017,BENSIN,105.000-110.000 KM,MANUAL,"GUNUNG SINDUR, BOGOR KAB.",Rp 100.000.000,https://www.olx.co.id/item/dijual-cepat-tdk-melayani-kredit-iid-932397302
Toyota CALYA G 1.2 AT 2024 Abu-abu Premium Condition - B2251UYJ,2024,BENSIN,5.000-10.000 KM,AUTOMATIC,"KEBAYORAN LAMA, JAKARTA SELATAN",Rp 149.000.000,https://www.olx.co.id/item/toyota-calya-g-12-at-2024-abu-abu-premium-condition-b2251uyj-iid-931856030
Honda HRV SE Matic / AT '2023' Coklat,2023,BENSIN,30.000-35.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 325.000.000,https://www.olx.co.id/item/honda-hrv-se-matic-at-2023-coklat-iid-932397240
Honda Jazz 2015 Bensin,2015,BENSIN,90000 KM,OTOMATIS,"TANAH SAREAL, BOGOR KOTA",Rp 159.500.000,https://www.olx.co.id/item/honda-jazz-2015-bensin-iid-932397193
Di jual cepat hyundai i10 lanjay aman ss komplit,2010,BENSIN,80.000-85.000 KM,AUTOMATIC,"BOJONGGEDE, BOGOR KAB.",Rp 59.495.000,https://www.olx.co.id/item/di-jual-cepat-hyundai-i10-lanjay-aman-ss-komplit-iid-932397124
Honda Brio E Matic / AT '2019' Silver,2019,BENSIN,45.000-50.000 KM,AUTOMATIC,"BEKASI TIMUR, BEKASI KOTA",Rp 137.000.000,https://www.olx.co.id/item/honda-brio-e-matic-at-2019-silver-iid-932396994
Honda JAZZ RS 1.5 AT 2020 Hitam Premium Condition - F1376JS,2020,BENSIN,25.000-30.000 KM,AUTOMATIC,"KEBAYORAN LAMA, JAKARTA SELATAN",Rp 232.000.000,https://www.olx.co.id/item/honda-jazz-rs-15-at-2020-hitam-premium-condition-f1376js-iid-932130928
Wuling Almaz RS 2022 Bensin,2022,BENSIN,90000 KM,OTOMATIS,"TANAH SAREAL, BOGOR KOTA",Rp 215.000.000,https://www.olx.co.id/item/wuling-almaz-rs-2022-bensin-iid-932396932
DP MURAH - Toyota Kijang Innova 2.0 G Bensin-MT 2016,2016,BENSIN,155.000-160.000 KM,MANUAL,"MUSTIKA JAYA, BEKASI KOTA",Rp 217.000.000,https://www.olx.co.id/item/dp-murah-toyota-kijang-innova-20-g-bensin-mt-2016-iid-931957850
[Mobil Baru] Promo Honda Brio E Matic,2025,BENSIN,0-5.000 KM,AUTOMATIC,"BALEENDAH, BANDUNG KAB.",Rp 108.100.000,https://www.olx.co.id/item/mobil-baru-promo-honda-brio-e-matic-iid-925601782
(tdp 47 jt) Honda Civic Turbo ES 1.5 CVT sedan 2019 super istimewa,2019,BENSIN,30.000-35.000 KM,AUTOMATIC,"ANDIR, BANDUNG KOTA",Rp 355.000.000,https://www.olx.co.id/item/tdp-47-jt-honda-civic-turbo-es-15-cvt-sedan-2019-super-istimewa-iid-932223840
TOYOTA CALYA 1.2 G AT 2018,2018,BENSIN,95.000-100.000 KM,AUTOMATIC,"PONDOK GEDE, BEKASI KOTA",Rp 115.000.000,https://www.olx.co.id/item/toyota-calya-12-g-at-2018-iid-932363258
